REGION;PROVINCIA;CANTON;DISTRITO;C_PROVINCIA;C_CANTON;C_DISTRITO;Km2;EMPRESAS;MICRO;PEQUENA;MEDIANA;GRANDE
CENTRAL;SAN JOSE;SAN JOSE;CARMEN;1;1;1;1,474772982;445;206;160;49;30
CENTRAL;SAN JOSE;SAN JOSE;MERCED;1;1;2;2,173702614;553;248;238;48;19
CENTRAL;SAN JOSE;SAN JOSE;HOSPITAL;1;1;3;3,30155868;965;575;300;65;25
CENTRAL;SAN JOSE;SAN JOSE;CATEDRAL;1;1;4;2,350838175;555;294;196;43;22
CENTRAL;SAN JOSE;SAN JOSE;ZAPOTE;1;1;5;2,865526628;336;193;103;27;13
CENTRAL;SAN JOSE;SAN JOSE;SAN FRANCISCO DE DOS RIOS;1;1;6;2,643762781;345;200;105;27;13
CENTRAL;SAN JOSE;SAN JOSE;URUCA;1;1;7;8,437035781;573;213;210;87;63
CENTRAL;SAN JOSE;SAN JOSE;MATA REDONDA;1;1;8;3,692031877;500;197;207;68;28
CENTRAL;SAN JOSE;SAN JOSE;PAVAS;1;1;9;9,390927907;799;428;254;64;53
CENTRAL;SAN JOSE;SAN JOSE;HATILLO;1;1;10;4,382593055;259;217;31;8;3
CENTRAL;SAN JOSE;SAN JOSE;SAN SEBASTIAN;1;1;11;4,007662779;335;219;78;25;13
CENTRAL;SAN JOSE;ESCAZU;ESCAZU;1;2;1;4,557550219;268;192;59;13;4
CENTRAL;SAN JOSE;ESCAZU;SAN ANTONIO;1;2;2;17,01206781;54;33;17;2;2
CENTRAL;SAN JOSE;ESCAZU;SAN RAFAEL;1;2;3;12,95924061;890;467;277;98;48
CENTRAL;SAN JOSE;DESAMPARADOS;DESAMPARADOS;1;3;1;3,306806606;367;289;64;10;4
CENTRAL;SAN JOSE;DESAMPARADOS;SAN MIGUEL;1;3;2;21,35825389;58;38;13;5;2
CENTRAL;SAN JOSE;DESAMPARADOS;SAN JUAN DE DIOS;1;3;3;2,983472725;30;19;9;2;0
CENTRAL;SAN JOSE;DESAMPARADOS;SAN RAFAEL ARRIBA;1;3;4;3,20679474;56;27;21;6;2
CENTRAL;SAN JOSE;DESAMPARADOS;SAN ANTONIO;1;3;5;2,101254303;65;39;19;4;3
CENTRAL;SAN JOSE;DESAMPARADOS;FRAILES;1;3;6;19,57425282;61;51;9;0;1
CENTRAL;SAN JOSE;DESAMPARADOS;PATARRA;1;3;7;16,08602776;28;18;10;0;0
CENTRAL;SAN JOSE;DESAMPARADOS;SAN CRISTOBAL;1;3;8;25,46986101;28;23;4;0;1
CENTRAL;SAN JOSE;DESAMPARADOS;ROSARIO;1;3;9;14,76684698;8;7;1;0;0
CENTRAL;SAN JOSE;DESAMPARADOS;DAMAS;1;3;10;2,569648533;24;16;5;3;0
CENTRAL;SAN JOSE;DESAMPARADOS;SAN RAFAEL ABAJO;1;3;11;2,010892118;61;41;16;3;1
CENTRAL;SAN JOSE;DESAMPARADOS;GRAVILIAS;1;3;12;2,944325041;58;37;17;2;2
CENTRAL;SAN JOSE;DESAMPARADOS;LOS GUIDO;1;3;13;3,00907246;10;8;1;1;0
CENTRAL;SAN JOSE;PURISCAL;SANTIAGO;1;4;1;34,52;119;86;25;7;1
CENTRAL;SAN JOSE;PURISCAL;MERCEDES SUR;1;4;2;183,5804501;13;12;1;0;0
CENTRAL;SAN JOSE;PURISCAL;BARBACOAS;1;4;3;18,73815073;14;12;2;0;0
CENTRAL;SAN JOSE;PURISCAL;SAN RAFAEL;1;4;5;15,53;4;4;0;0;0
CENTRAL;SAN JOSE;PURISCAL;CANDELARITA;1;4;6;24,87041709;4;4;0;0;0
CENTRAL;SAN JOSE;PURISCAL;DESAMPARADITOS;1;4;7;7,139199786;1;1;0;0;0
CENTRAL;SAN JOSE;PURISCAL;SAN ANTONIO;1;4;8;14,5;11;10;1;0;0
CENTRAL;SAN JOSE;PURISCAL;CHIRES;1;4;9;230,470646;10;5;4;1;0
CENTRAL;SAN JOSE;TARRAZU;SAN MARCOS;1;5;1;45,53264124;89;81;4;2;2
CENTRAL;SAN JOSE;TARRAZU;SAN LORENZO;1;5;2;185,6422644;22;21;1;0;0
CENTRAL;SAN JOSE;TARRAZU;SAN CARLOS;1;5;3;58,57704917;1;1;0;0;0
CENTRAL;SAN JOSE;ASERRI;ASERRI;1;6;1;167,1;77;52;21;4;0
CENTRAL;SAN JOSE;ASERRI;TARBACA;1;6;2;15,33147069;8;5;3;0;0
CENTRAL;SAN JOSE;ASERRI;VUELTA DE JORCO;1;6;3;22,04381997;10;8;2;0;0
CENTRAL;SAN JOSE;ASERRI;SAN GABRIEL;1;6;4;11,75734339;12;10;2;0;0
CENTRAL;SAN JOSE;ASERRI;LEGUA;1;6;5;81,51380069;3;2;1;0;0
CENTRAL;SAN JOSE;ASERRI;SALITRILLOS;1;6;7;14,35154925;6;4;2;0;0
CENTRAL;SAN JOSE;MORA;COLON;1;7;1;40,12;99;65;29;3;2
CENTRAL;SAN JOSE;MORA;GUAYABO;1;7;2;8,99;6;3;3;0;0
CENTRAL;SAN JOSE;MORA;TABARCIA;1;7;3;40,39;11;10;1;0;0
CENTRAL;SAN JOSE;MORA;PIEDRAS NEGRAS;1;7;4;20,36817461;4;3;1;0;0
CENTRAL;SAN JOSE;MORA;PICAGRES;1;7;5;27,20445449;1;1;0;0;0
CENTRAL;SAN JOSE;GOICOECHEA;GUADALUPE;1;8;1;2,38;558;416;119;14;9
CENTRAL;SAN JOSE;GOICOECHEA;SAN FRANCISCO;1;8;2;0,57;84;26;41;13;4
CENTRAL;SAN JOSE;GOICOECHEA;CALLE BLANCOS;1;8;3;2,36311843;255;140;82;18;15
CENTRAL;SAN JOSE;GOICOECHEA;MATA DE PLATANO;1;8;4;7,84857264;33;27;5;1;0
CENTRAL;SAN JOSE;GOICOECHEA;IPIS;1;8;5;2,366974752;48;21;16;7;4
CENTRAL;SAN JOSE;GOICOECHEA;RANCHO REDONDO;1;8;6;13,38;10;8;2;0;0
CENTRAL;SAN JOSE;GOICOECHEA;PURRAL;1;8;7;3,107655904;18;10;7;0;1
CENTRAL;SAN JOSE;SANTA ANA;SANTA ANA;1;9;1;5,402271179;290;179;80;21;10
CENTRAL;SAN JOSE;SANTA ANA;SALITRAL;1;9;2;20,19710284;15;11;4;0;0
CENTRAL;SAN JOSE;SANTA ANA;POZOS;1;9;3;13,34048673;233;84;89;37;23
CENTRAL;SAN JOSE;SANTA ANA;URUCA;1;9;4;7,07021892;20;10;8;2;0
CENTRAL;SAN JOSE;SANTA ANA;PIEDADES;1;9;5;12,01217182;42;19;17;6;0
